item_id;exercicio;enunciado;resposta_correta;resposta_errada_candidata;seu_julgamento_(valido/invalido);observacao
IT153;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;6;;
IT154;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;13/10 em ~0.13;;
IT155;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;2/3;;
IT156;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;7;;
IT157;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;9/7;;
IT158;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;0.9;;
IT159;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;0 1/4;;
IT160;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;987654;;
IT161;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;1/3;;
IT162;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;13/10 entre 0 e 1;;
IT163;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;5;;
IT164;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;7/8;;
IT165;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;F1=13, F2=3, denom=10;;
IT166;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;13/2;;
IT167;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;5;;
IT168;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;1;;
IT169;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;1 1/4;;
IT170;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;3/4;;
IT171;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;6;;
IT172;08dentists;"Vários dentistas foram solicitados a escolher entre duas pastas de dente: Marca X e Marca Y. Quatro em cada cinco dentistas disseram que preferiam a Marca X à M";4/5;2;;
IT173;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;987654;;
IT174;03summerBooks;"Sally has to read 5 books for her summer assignment. So far, she has read 3 of the books. That is 3/5 of the assignment, and she is convinced that she has read ";3/5;987654;;
IT175;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;Ponto na posição 3;;
IT176;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;posição entre 0 e 1;;
IT177;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;13;;
IT178;13cleanRoom;"Chris queria andar de skate, mas sua mãe disse que ele precisava arrumar o quarto primeiro. Chris levou uma hora e quinze minutos, ou 5/4 horas, para arrumar o ";5/4;4/5;;
IT179;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;4;;
IT180;11project;"Ivan tem um projeto para entregar em uma semana. Para não ser preguiçoso, ele dividiu o trabalho em 7 partes e decidiu concluir uma parte por dia. Depois de 5 d";5/7;987654;;
IT181;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;F1=0, F2=4;;
IT182;00bubble;"Você está tentando distribuir um pão igualmente para 5 pessoas. Cada pedaço de pão deve ter o mesmo tamanho, então você deu a cada pessoa exatamente 1/5 do pão.";1/5;-/5;;
IT183;10children;"O Sr. e a Sra. Holsinger levaram seus 3 filhos a um parque à tarde. Quando chegaram lá, duas das crianças queriam nadar na piscina, enquanto a outra queria anda";2/3;1/3;;
IT184;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;1/10;;
IT185;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;1/5;;
IT186;16bonusQuestion;"Ryan fez uma prova na aula de história. A prova tinha seis questões, mais uma questão bônus. Ryan acertou TODAS as questões, incluindo a questão bônus! Portanto";7/6;1 1/6 (deslocado);;
IT187;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;10/6;;
IT188;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;12/17;;
IT189;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;17/2;;
IT190;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;100;;
IT191;21mnm;"Haley acabou de receber uma sacola de M&Ms de uma amiga e agora quer transferi-los para alguns potes. A sacola de M&Ms encheu completamente um pote e 1/3 do seg";4/3;5;;
IT192;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;15/16;;
IT193;21mnm;"Haley acabou de receber uma sacola de M&Ms de uma amiga e agora quer transferi-los para alguns potes. A sacola de M&Ms encheu completamente um pote e 1/3 do seg";4/3;4;;
IT194;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;1.7;;
IT195;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;1_7/8;;
IT196;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;1;;
IT197;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;6/8;;
IT198;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;3/2;;
IT199;06lemonade;"Tim está dividindo uma jarra de limonada para 7 pessoas. Com muito cuidado, usando um copo medidor, Tim dividiu a limonada igualmente para todos, mas como demor";2/7;5/7;;
IT200;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;15/8;;
IT201;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;3;;
IT202;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;3/8;;
IT203;08dentists;"Vários dentistas foram solicitados a escolher entre duas pastas de dente: Marca X e Marca Y. Quatro em cada cinco dentistas disseram que preferiam a Marca X à M";4/5;987654;;
IT204;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;17/12;;
IT205;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;11/2;;
IT206;10children;"O Sr. e a Sra. Holsinger levaram seus 3 filhos a um parque à tarde. Quando chegaram lá, duas das crianças queriam nadar na piscina, enquanto a outra queria anda";2/3;3;;
IT207;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;987654;;
IT208;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;8;;
IT209;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;2;;
IT210;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;6/11;;
IT211;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;2/5;;
IT212;10children;"O Sr. e a Sra. Holsinger levaram seus 3 filhos a um parque à tarde. Quando chegaram lá, duas das crianças queriam nadar na piscina, enquanto a outra queria anda";2/3;3/2;;
IT213;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;0.9;;
IT214;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;10/6;;
IT215;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;3/7;;
IT216;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;12/10;;
IT217;02watermelon;"Depois que Brittany dividiu a melancia igualmente para 4 pessoas, um de seus amigos gulosos, Bill, comeu 3 pedaços em vez de 1. Isso significa que Bill comeu 3/";3/4;2/4;;
IT218;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;5/8;;
IT219;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;10;;
IT220;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;1/2;;
IT221;03summerBooks;"Sally has to read 5 books for her summer assignment. So far, she has read 3 of the books. That is 3/5 of the assignment, and she is convinced that she has read ";3/5;5/3;;
IT222;16bonusQuestion;"Ryan fez uma prova na aula de história. A prova tinha seis questões, mais uma questão bônus. Ryan acertou TODAS as questões, incluindo a questão bônus! Portanto";7/6;7;;
IT223;21mnm;"Haley acabou de receber uma sacola de M&Ms de uma amiga e agora quer transferi-los para alguns potes. A sacola de M&Ms encheu completamente um pote e 1/3 do seg";4/3;987654;;
IT224;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;987654;;
IT225;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;987654;;
IT226;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;14;;
IT227;08dentists;"Vários dentistas foram solicitados a escolher entre duas pastas de dente: Marca X e Marca Y. Quatro em cada cinco dentistas disseram que preferiam a Marca X à M";4/5;1;;
IT228;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;13/10;;
IT229;02watermelon;"Depois que Brittany dividiu a melancia igualmente para 4 pessoas, um de seus amigos gulosos, Bill, comeu 3 pedaços em vez de 1. Isso significa que Bill comeu 3/";3/4;1;;
IT230;03summerBooks;"Sally has to read 5 books for her summer assignment. So far, she has read 3 of the books. That is 3/5 of the assignment, and she is convinced that she has read ";3/5;4;;
IT231;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;0.9;;
IT232;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;1;;
IT233;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;987654;;
IT234;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;1 10/12;;
IT235;03summerBooks;"Sally has to read 5 books for her summer assignment. So far, she has read 3 of the books. That is 3/5 of the assignment, and she is convinced that she has read ";3/5;1;;
IT236;02watermelon;"Depois que Brittany dividiu a melancia igualmente para 4 pessoas, um de seus amigos gulosos, Bill, comeu 3 pedaços em vez de 1. Isso significa que Bill comeu 3/";3/4;987654;;
IT237;13cleanRoom;"Chris queria andar de skate, mas sua mãe disse que ele precisava arrumar o quarto primeiro. Chris levou uma hora e quinze minutos, ou 5/4 horas, para arrumar o ";5/4;denom=5;;
IT238;18gum;"Steve tinha dois pacotes de chiclete. Cada pacote continha seis unidades. Ele deu uma unidade para cada um de seus onze amigos. O número total de chicletes que ";11/6;5/6;;
IT239;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;3/4;;
IT240;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;4/8;;
IT241;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;5/14;;
IT242;03summerBooks;"Sally has to read 5 books for her summer assignment. So far, she has read 3 of the books. That is 3/5 of the assignment, and she is convinced that she has read ";3/5;menos da metade;;
IT243;00bubble;"Você está tentando distribuir um pão igualmente para 5 pessoas. Cada pedaço de pão deve ter o mesmo tamanho, então você deu a cada pessoa exatamente 1/5 do pão.";1/5;1;;
IT244;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;1;;
IT245;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;2;;
IT246;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;8;;
IT247;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;2/5;;
IT248;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;4/3;;
IT249;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;3;;
IT250;23textbookPack;"Leonard está empacotando 13 livros didáticos em algumas caixas. Na primeira caixa, Leonard consegue colocar exatamente 8 livros, sem deixar espaços vazios. Em s";13/8;8/13;;
IT251;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;0;;
IT252;11project;"Ivan tem um projeto para entregar em uma semana. Para não ser preguiçoso, ele dividiu o trabalho em 7 partes e decidiu concluir uma parte por dia. Depois de 5 d";5/7;2/7;;
IT253;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;9/13;;
IT254;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;12;;
IT255;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;1 13/10;;
IT256;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;3/12;;
IT257;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;987654;;
IT258;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;0-2;;
IT259;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;2.5;;
IT260;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;0/4;;
IT261;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;2/4;;
IT262;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;987654;;
IT263;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;3/5;;
IT264;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;reta dividida em 2 partes (0-1, 1-2);;
IT265;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;8/14;;
IT266;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;0.8;;
IT267;06lemonade;"Tim está dividindo uma jarra de limonada para 7 pessoas. Com muito cuidado, usando um copo medidor, Tim dividiu a limonada igualmente para todos, mas como demor";2/7;7/2;;
IT268;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;27/12;;
IT269;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;9;;
IT270;00bubble;"Você está tentando distribuir um pão igualmente para 5 pessoas. Cada pedaço de pão deve ter o mesmo tamanho, então você deu a cada pessoa exatamente 1/5 do pão.";1/5;1/5;;
IT271;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;24;;
IT272;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;2;;
IT273;08dentists;"Vários dentistas foram solicitados a escolher entre duas pastas de dente: Marca X e Marca Y. Quatro em cada cinco dentistas disseram que preferiam a Marca X à M";4/5;denom=4;;
IT274;16bonusQuestion;"Ryan fez uma prova na aula de história. A prova tinha seis questões, mais uma questão bônus. Ryan acertou TODAS as questões, incluindo a questão bônus! Portanto";7/6;6;;
IT275;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;9/5;;
IT276;10children;"O Sr. e a Sra. Holsinger levaram seus 3 filhos a um parque à tarde. Quando chegaram lá, duas das crianças queriam nadar na piscina, enquanto a outra queria anda";2/3;5;;
IT277;08dentists;"Vários dentistas foram solicitados a escolher entre duas pastas de dente: Marca X e Marca Y. Quatro em cada cinco dentistas disseram que preferiam a Marca X à M";4/5;6;;
IT278;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;4/4;;
IT279;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;4/4;;
IT280;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;5/5;;
IT281;00bubble;"Você está tentando distribuir um pão igualmente para 5 pessoas. Cada pedaço de pão deve ter o mesmo tamanho, então você deu a cada pessoa exatamente 1/5 do pão.";1/5;reta não dividida;;
IT282;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;4/5;;
IT283;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;5;;
IT284;09mathCompetition;"Mike participou de uma competição de matemática. Na competição, Mike recebeu um teste de matemática muito difícil. O teste era tão difícil que era considerado "";9/14;14/9;;
IT285;19Painting;"BBrittany está mudando a posição do seu quadro na parede. Ela o moveu um pé para a direita, mas não foi suficiente. Então, Brittany o moveu mais um pé para a di";5/4;1/5;;
IT286;15fishStick;"Grace está numa situação muito complicada hoje. Ela comprou 10 palitos de peixe, mas precisa dividi-los igualmente com seis amigas. Grace usa a matemática para ";10/7;7/10;;
IT287;17pencils;"Amy está criando uma escultura única com lápis. Para prepará-la, ela comprou 2 dúzias de lápis, mas usou apenas 17 deles. Amy usou 17 dos lápis que comprou, mas";17/12;1 4/12;;
IT288;00bubble;"Você está tentando distribuir um pão igualmente para 5 pessoas. Cada pedaço de pão deve ter o mesmo tamanho, então você deu a cada pessoa exatamente 1/5 do pão.";1/5;1/4;;
IT289;05flu;"Em uma semana, Danielle pegou gripe e teve que ficar em casa, sem ir à escola, por 3 dias. Uma semana tem 5 dias letivos. Use a reta numérica para mostrar a fra";3/5;6;;
IT290;13cleanRoom;"Chris queria andar de skate, mas sua mãe disse que ele precisava arrumar o quarto primeiro. Chris levou uma hora e quinze minutos, ou 5/4 horas, para arrumar o ";5/4;1/5;;
IT291;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;15/2;;
IT292;13cleanRoom;"Chris queria andar de skate, mas sua mãe disse que ele precisava arrumar o quarto primeiro. Chris levou uma hora e quinze minutos, ou 5/4 horas, para arrumar o ";5/4;3/4;;
IT293;13cleanRoom;"Chris queria andar de skate, mas sua mãe disse que ele precisava arrumar o quarto primeiro. Chris levou uma hora e quinze minutos, ou 5/4 horas, para arrumar o ";5/4;4;;
IT294;02watermelon;"Depois que Brittany dividiu a melancia igualmente para 4 pessoas, um de seus amigos gulosos, Bill, comeu 3 pedaços em vez de 1. Isso significa que Bill comeu 3/";3/4;7;;
IT295;20birthday;"Chad deu uma festa de aniversário e convidou muitos amigos. Havia tanta gente que precisaram de dois bolos para garantir que houvesse o suficiente. Cada bolo fo";15/8;Posição equivalente a 15/16;;
IT296;04soccerSeason;"Alisha joga no time de futebol feminino da sua escola. Durante um dos jogos, ela torceu o tornozelo e perdeu o restante das partidas. Ela acabou jogando apenas ";3/4;987654;;
IT297;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;8/5;;
IT298;21mnm;"Haley acabou de receber uma sacola de M&Ms de uma amiga e agora quer transferi-los para alguns potes. A sacola de M&Ms encheu completamente um pote e 1/3 do seg";4/3;3;;
IT299;06lemonade;"Tim está dividindo uma jarra de limonada para 7 pessoas. Com muito cuidado, usando um copo medidor, Tim dividiu a limonada igualmente para todos, mas como demor";2/7;6;;
IT300;01watermelon;"Brittany comprou uma melancia para dividir com três amigas. Cada pedaço da melancia tinha o mesmo tamanho. Brittany comeu 1/4 da melancia. Use a reta numérica p";1/4;denom=4, F1=vazio, F2=1;;
IT301;12apples;"Lilth está selecionando maçãs boas de dois sacos cheios. Cada saco comporta 12 maçãs. No primeiro saco, ela selecionou 5 maçãs e, no segundo, 10. Em seguida, el";15/12;7;;
IT302;14centimeter;"Mandy e Karyn têm uma avó no Canadá. Sempre que a visitam, a avó mede o quanto elas cresceram desde a última visita. Nesta visita, Karyn estava 13 milímetros ma";13/10;1.4;;
IT303;07pizza;"Bailey convidou uma amiga para jantar. Elas pediram uma pizza cortada em 8 fatias. Juntas, elas comeram 5 fatias. Use a reta numérica para mostrar a quantidade ";5/8;6;;
IT304;22biscuit;"Andrew está preparando seus biscoitos e chegou a hora de adicionar sal. Ele coloca uma colher de chá cheia de sal na massa e, em seguida, meia colher de chá. Qu";3/2;1/5;;
